948550872	20200925	202009	2020	2020.7260	IND	BIHAR	IND																		1	012	012	01	1	-0.4	10	3	10	-1.26376547429179	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200925	https://www.thehindu.com/news/national/other-states/pappu-yadav-promises-corruption-free-bihar-in-six-months/article32690228.ece
948550873	20200925	202009	2020	2020.7260	IND	BIHAR	IND																		1	0341	034	03	1	7.0	2	1	2	0.6060606060606	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200925	https://www.thehindu.com/news/national/other-states/pappu-yadav-promises-corruption-free-bihar-in-six-months/article32690228.ece
948550874	20200925	202009	2020	2020.7260	IND	PATNA	IND																		1	046	046	04	1	7.0	3	1	3	0.6060606060606	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200925	https://www.thehindu.com/news/national/other-states/pappu-yadav-promises-corruption-free-bihar-in-six-months/article32690228.ece
948550875	20200925	202009	2020	2020.7260	IND	MAHARASHTRA	IND																		0	172	172	17	4	-5.0	6	1	6	-3.13873195229128	4	Howrah, West Bengal, India	IN	IN28	22.5892	88.3103	-2097144	0							4	Howrah, West Bengal, India	IN	IN28	22.5892	88.3103	-2097144	20200925	https://www.telegraphindia.com/west-bengal/calcutta/fear-of-getting-covid-19-has-triggered-a-crisis-for-oxygen-as-people-are-hoarding-cylinders/cid/1792945
948550876	20200925	202009	2020	2020.7260	IND	MAHARASHTRA	IND																		0	172	172	17	4	-5.0	4	1	4	-3.13873195229128	4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	0							4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	20200925	https://www.telegraphindia.com/west-bengal/calcutta/fear-of-getting-covid-19-has-triggered-a-crisis-for-oxygen-as-people-are-hoarding-cylinders/cid/1792945
948550877	20200925	202009	2020	2020.7260	IND	NEW DELHI	IND								COP	POLICE						COP			1	090	090	09	2	-2.0	12	2	12	-9.78260869565217	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.aninews.in/news/national/general-news/four-delhi-cops-suspended-for-misreporting-seized-cannabis20200925034650/
948550878	20200925	202009	2020	2020.7260	IND	DELHI	IND								GOV	PRESIDENT						GOV			1	042	042	04	1	1.9	10	2	10	0.08270676691729	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550879	20200925	202009	2020	2020.7260	IND	DELHI	IND								GOV	PRESIDENT						GOV			1	042	042	04	1	1.9	2	1	2	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550880	20200925	202009	2020	2020.7260	IND	MAHARASHTRA	IND								GOV	GOVERNMENT						GOV			0	051	051	05	1	3.4	6	1	6	-3.13873195229128	4	Howrah, West Bengal, India	IN	IN28	22.5892	88.3103	-2097144	4	Howrah, West Bengal, India	IN	IN28	22.5892	88.3103	-2097144	4	Howrah, West Bengal, India	IN	IN28	22.5892	88.3103	-2097144	20200925	https://www.telegraphindia.com/west-bengal/calcutta/fear-of-getting-covid-19-has-triggered-a-crisis-for-oxygen-as-people-are-hoarding-cylinders/cid/1792945
948550881	20200925	202009	2020	2020.7260	IND	MAHARASHTRA	IND								GOV	GOVERNMENT						GOV			0	051	051	05	1	3.4	4	1	4	-3.13873195229128	4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	4	Somnath, Gujarat, India	IN	IN09	22.0667	71.3833	-2111789	20200925	https://www.telegraphindia.com/west-bengal/calcutta/fear-of-getting-covid-19-has-triggered-a-crisis-for-oxygen-as-people-are-hoarding-cylinders/cid/1792945
948550882	20200925	202009	2020	2020.7260	IND	ASSAM	IND								GOV	PRIME MINISTER						GOV			1	112	112	11	3	-2.0	10	1	10	-5.30035335689046	4	Ayodhya, Uttar Pradesh, India	IN	IN36	26.8	82.2	-2089412	4	Ayodhya, Uttar Pradesh, India	IN	IN36	26.8	82.2	-2089412	4	Ayodhya, Uttar Pradesh, India	IN	IN36	26.8	82.2	-2089412	20200925	https://www.telegraphindia.com/india/assam-board-cuts-nehru-chapters-from-syllabus/cid/1792986
948550884	20200925	202009	2020	2020.7260	IND	KARNATAKA	IND								LEG	PARLIAMENT						LEG			1	141	141	14	3	-6.5	8	1	8	-0.67567567567568	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	20200925	https://www.aninews.in/news/national/general-news/bengaluru-citu-stages-vidhan-soudha-chalo-protest-against-labour-code-bills20200925040219/
948550885	20200925	202009	2020	2020.7260	IND	MANIPUR	IND								MED	NEWSPAPER						MED			1	040	040	04	1	1.0	6	1	6	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550886	20200925	202009	2020	2020.7260	INDBUS	BARODA	IND					BUS			GOVBUS	NATIONAL BANK						GOV	BUS		1	031	031	03	1	5.2	4	1	4	0.609756097560976	4	Baroda, Gujarat, India	IN	IN09	22.3	73.2	-2114049	4	Baroda, Gujarat, India	IN	IN09	22.3	73.2	-2114049	4	Baroda, Gujarat, India	IN	IN09	22.3	73.2	-2114049	20200925	https://www.telegraphindia.com/business/uti-sset-management-company-fixes-share-price-for-ipo/cid/1793003
948550888	20200925	202009	2020	2020.7260	INDCOP	DELHI	IND					COP			IND	NEW DELHI	IND								1	182	182	18	4	-9.5	4	3	4	-11.448275862069	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.aninews.in/news/national/general-news/delhi-3-killed-3-injured-in-bus-accident-on-wazirabad-road20200925034633/
948550889	20200925	202009	2020	2020.7260	INDCOP	DELHI	IND					COP			IND	NEW DELHI	IND								1	190	190	19	4	-10.0	4	3	4	-11.448275862069	4	Nagari, Andhra Pradesh, India	IN	IN02	13.3333	79.5833	-2105336	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.aninews.in/news/national/general-news/delhi-3-killed-3-injured-in-bus-accident-on-wazirabad-road20200925034633/
948550890	20200925	202009	2020	2020.7260	INDGOVAGR	VENKAIAH NAIDU	IND					GOV	AGR		GOV	SECRETARIAT						GOV			1	020	020	02	1	3.0	1	1	1	1.38888888888889	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200925	https://www.thehindu.com/news/national/coronavirus-83-rajya-sabha-employees-test-positive-during-monsoon-session-of-parliament/article32690124.ece
948551014	20200925	202009	2020	2020.7260	JUD	SUPREME COURT						JUD													1	090	090	09	2	-2.0	5	1	5	-3.40557275541796	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200925	https://www.telegraphindia.com/india/covid-supreme-court-to-examine-upsc-exam-postponepent-plea/cid/1792974
